master_relpath	current_relpath	canonical_class	notes
src/gnu/trove/ba/b.java	src/gnu/trove/impl/hash/TByteCharHash.java	gnu.trove.impl.hash.TByteCharHash	class+pkg renamed
src/gnu/trove/ba/c.java	src/gnu/trove/impl/hash/TByteDoubleHash.java	gnu.trove.impl.hash.TByteDoubleHash	class+pkg renamed
src/gnu/trove/ba/d.java	src/gnu/trove/impl/hash/TByteFloatHash.java	gnu.trove.impl.hash.TByteFloatHash	class+pkg renamed
src/gnu/trove/ba/e.java	src/gnu/trove/impl/hash/TByteHash.java	gnu.trove.impl.hash.TByteHash	class+pkg renamed
src/gnu/trove/ba/f.java	src/gnu/trove/impl/hash/TByteIntHash.java	gnu.trove.impl.hash.TByteIntHash	class+pkg renamed
src/gnu/trove/ba/g.java	src/gnu/trove/impl/hash/TByteLongHash.java	gnu.trove.impl.hash.TByteLongHash	class+pkg renamed
src/gnu/trove/ba/h.java	src/gnu/trove/impl/hash/TByteShortHash.java	gnu.trove.impl.hash.TByteShortHash	class+pkg renamed
src/gnu/trove/ba/i.java	src/gnu/trove/impl/hash/TCharByteHash.java	gnu.trove.impl.hash.TCharByteHash	class+pkg renamed
src/gnu/trove/ba/j.java	src/gnu/trove/impl/hash/TCharCharHash.java	gnu.trove.impl.hash.TCharCharHash	class+pkg renamed
src/gnu/trove/ba/k.java	src/gnu/trove/impl/hash/TCharDoubleHash.java	gnu.trove.impl.hash.TCharDoubleHash	class+pkg renamed
src/gnu/trove/ba/l.java	src/gnu/trove/impl/hash/TCharFloatHash.java	gnu.trove.impl.hash.TCharFloatHash	class+pkg renamed
src/gnu/trove/ba/m.java	src/gnu/trove/impl/hash/TCharHash.java	gnu.trove.impl.hash.TCharHash	class+pkg renamed
src/gnu/trove/ba/n.java	src/gnu/trove/impl/hash/TCharIntHash.java	gnu.trove.impl.hash.TCharIntHash	class+pkg renamed
src/gnu/trove/ba/o.java	src/gnu/trove/impl/hash/TCharLongHash.java	gnu.trove.impl.hash.TCharLongHash	class+pkg renamed
src/gnu/trove/ba/p.java	src/gnu/trove/impl/hash/TCharShortHash.java	gnu.trove.impl.hash.TCharShortHash	class+pkg renamed
src/gnu/trove/ba/q.java	src/gnu/trove/impl/hash/TCustomObjectHash.java	gnu.trove.impl.hash.TCustomObjectHash	class+pkg renamed
src/gnu/trove/ba/r.java	src/gnu/trove/impl/hash/TDoubleByteHash.java	gnu.trove.impl.hash.TDoubleByteHash	class+pkg renamed
src/gnu/trove/ba/s.java	src/gnu/trove/impl/hash/TDoubleCharHash.java	gnu.trove.impl.hash.TDoubleCharHash	class+pkg renamed
src/gnu/trove/ba/t.java	src/gnu/trove/impl/hash/TDoubleDoubleHash.java	gnu.trove.impl.hash.TDoubleDoubleHash	class+pkg renamed
src/gnu/trove/ba/u.java	src/gnu/trove/impl/hash/TDoubleFloatHash.java	gnu.trove.impl.hash.TDoubleFloatHash	class+pkg renamed
src/gnu/trove/ba/v.java	src/gnu/trove/impl/hash/TDoubleHash.java	gnu.trove.impl.hash.TDoubleHash	class+pkg renamed
src/gnu/trove/ba/w.java	src/gnu/trove/impl/hash/TDoubleIntHash.java	gnu.trove.impl.hash.TDoubleIntHash	class+pkg renamed
src/gnu/trove/ba/x.java	src/gnu/trove/impl/hash/TDoubleLongHash.java	gnu.trove.impl.hash.TDoubleLongHash	class+pkg renamed
src/gnu/trove/ba/y.java	src/gnu/trove/impl/hash/TDoubleShortHash.java	gnu.trove.impl.hash.TDoubleShortHash	class+pkg renamed
src/gnu/trove/ba/z.java	src/gnu/trove/impl/hash/TFloatByteHash.java	gnu.trove.impl.hash.TFloatByteHash	class+pkg renamed
src/gnu/trove/c.java	src/gnu/trove/TDoubleCollection.java	gnu.trove.TDoubleCollection	class+pkg renamed
src/gnu/trove/c_ref/A_ref.java	src/gnu/trove/iterator/TDoubleObjectIterator.java	gnu.trove.iterator.TDoubleObjectIterator	class+pkg renamed
src/gnu/trove/c_ref/B_ref.java	src/gnu/trove/iterator/TDoubleShortIterator.java	gnu.trove.iterator.TDoubleShortIterator	class+pkg renamed
src/gnu/trove/c_ref/C_ref.java	src/gnu/trove/iterator/TFloatByteIterator.java	gnu.trove.iterator.TFloatByteIterator	class+pkg renamed
src/gnu/trove/c_ref/D_ref.java	src/gnu/trove/iterator/TFloatCharIterator.java	gnu.trove.iterator.TFloatCharIterator	class+pkg renamed
src/gnu/trove/c_ref/E_ref.java	src/gnu/trove/iterator/TFloatDoubleIterator.java	gnu.trove.iterator.TFloatDoubleIterator	class+pkg renamed
src/gnu/trove/c_ref/F_ref.java	src/gnu/trove/iterator/TFloatFloatIterator.java	gnu.trove.iterator.TFloatFloatIterator	class+pkg renamed
src/gnu/trove/c_ref/G_ref.java	src/gnu/trove/iterator/TFloatIntIterator.java	gnu.trove.iterator.TFloatIntIterator	class+pkg renamed
src/gnu/trove/c_ref/H_ref.java	src/gnu/trove/iterator/TFloatIterator.java	gnu.trove.iterator.TFloatIterator	class+pkg renamed
src/gnu/trove/c_ref/I_ref.java	src/gnu/trove/iterator/TFloatLongIterator.java	gnu.trove.iterator.TFloatLongIterator	class+pkg renamed
src/gnu/trove/c_ref/J_ref.java	src/gnu/trove/iterator/TFloatObjectIterator.java	gnu.trove.iterator.TFloatObjectIterator	class+pkg renamed
src/gnu/trove/c_ref/K_ref.java	src/gnu/trove/iterator/TFloatShortIterator.java	gnu.trove.iterator.TFloatShortIterator	class+pkg renamed
src/gnu/trove/c_ref/L_ref.java	src/gnu/trove/iterator/TIntByteIterator.java	gnu.trove.iterator.TIntByteIterator	class+pkg renamed
src/gnu/trove/c_ref/M_ref.java	src/gnu/trove/iterator/TIntCharIterator.java	gnu.trove.iterator.TIntCharIterator	class+pkg renamed
src/gnu/trove/c_ref/N_ref.java	src/gnu/trove/iterator/TIntDoubleIterator.java	gnu.trove.iterator.TIntDoubleIterator	class+pkg renamed
src/gnu/trove/c_ref/O_ref.java	src/gnu/trove/iterator/TIntFloatIterator.java	gnu.trove.iterator.TIntFloatIterator	class+pkg renamed
src/gnu/trove/c_ref/P_ref.java	src/gnu/trove/iterator/TIntIntIterator.java	gnu.trove.iterator.TIntIntIterator	class+pkg renamed
src/gnu/trove/c_ref/Q_ref.java	src/gnu/trove/iterator/TIntIterator.java	gnu.trove.iterator.TIntIterator	class+pkg renamed
src/gnu/trove/c_ref/R_ref.java	src/gnu/trove/iterator/TIntLongIterator.java	gnu.trove.iterator.TIntLongIterator	class+pkg renamed
src/gnu/trove/c_ref/S_ref.java	src/gnu/trove/iterator/TIntObjectIterator.java	gnu.trove.iterator.TIntObjectIterator	class+pkg renamed
src/gnu/trove/c_ref/T_ref.java	src/gnu/trove/iterator/TIntShortIterator.java	gnu.trove.iterator.TIntShortIterator	class+pkg renamed
src/gnu/trove/c_ref/U_ref.java	src/gnu/trove/iterator/TIterator.java	gnu.trove.iterator.TIterator	class+pkg renamed
src/gnu/trove/c_ref/V_ref.java	src/gnu/trove/iterator/TLongByteIterator.java	gnu.trove.iterator.TLongByteIterator	class+pkg renamed
src/gnu/trove/c_ref/W_ref.java	src/gnu/trove/iterator/TLongCharIterator.java	gnu.trove.iterator.TLongCharIterator	class+pkg renamed
src/gnu/trove/c_ref/X_ref.java	src/gnu/trove/iterator/TLongDoubleIterator.java	gnu.trove.iterator.TLongDoubleIterator	class+pkg renamed
src/gnu/trove/c_ref/Y_ref.java	src/gnu/trove/iterator/TLongFloatIterator.java	gnu.trove.iterator.TLongFloatIterator	class+pkg renamed
src/gnu/trove/c_ref/Z_ref.java	src/gnu/trove/iterator/TLongIntIterator.java	gnu.trove.iterator.TLongIntIterator	class+pkg renamed
src/gnu/trove/c_ref/a.java	src/gnu/trove/iterator/TAdvancingIterator.java	gnu.trove.iterator.TAdvancingIterator	class+pkg renamed
src/gnu/trove/c_ref/aa.java	src/gnu/trove/iterator/TLongIterator.java	gnu.trove.iterator.TLongIterator	class+pkg renamed
src/gnu/trove/c_ref/ab.java	src/gnu/trove/iterator/TLongLongIterator.java	gnu.trove.iterator.TLongLongIterator	class+pkg renamed
src/gnu/trove/c_ref/ac.java	src/gnu/trove/iterator/TLongObjectIterator.java	gnu.trove.iterator.TLongObjectIterator	class+pkg renamed
src/gnu/trove/c_ref/ad.java	src/gnu/trove/iterator/TLongShortIterator.java	gnu.trove.iterator.TLongShortIterator	class+pkg renamed
src/gnu/trove/c_ref/ae.java	src/gnu/trove/iterator/TObjectByteIterator.java	gnu.trove.iterator.TObjectByteIterator	class+pkg renamed
src/gnu/trove/c_ref/af.java	src/gnu/trove/iterator/TObjectCharIterator.java	gnu.trove.iterator.TObjectCharIterator	class+pkg renamed
src/gnu/trove/c_ref/ag.java	src/gnu/trove/iterator/TObjectDoubleIterator.java	gnu.trove.iterator.TObjectDoubleIterator	class+pkg renamed
src/gnu/trove/c_ref/ah.java	src/gnu/trove/iterator/TObjectFloatIterator.java	gnu.trove.iterator.TObjectFloatIterator	class+pkg renamed
src/gnu/trove/c_ref/ai.java	src/gnu/trove/iterator/TObjectIntIterator.java	gnu.trove.iterator.TObjectIntIterator	class+pkg renamed
src/gnu/trove/c_ref/aj.java	src/gnu/trove/iterator/TObjectLongIterator.java	gnu.trove.iterator.TObjectLongIterator	class+pkg renamed
src/gnu/trove/c_ref/ak.java	src/gnu/trove/iterator/TObjectShortIterator.java	gnu.trove.iterator.TObjectShortIterator	class+pkg renamed
src/gnu/trove/c_ref/al.java	src/gnu/trove/iterator/TPrimitiveIterator.java	gnu.trove.iterator.TPrimitiveIterator	obfuscation-merge interface body kept (extends TCharCollection+TIterator+TIntCollection+TLongCollection — 171 subclasses depend on those super-interface stubs)
src/gnu/trove/c_ref/am.java	src/gnu/trove/iterator/TShortByteIterator.java	gnu.trove.iterator.TShortByteIterator	class+pkg renamed
src/gnu/trove/c_ref/an.java	src/gnu/trove/iterator/TShortCharIterator.java	gnu.trove.iterator.TShortCharIterator	class+pkg renamed
src/gnu/trove/c_ref/ao.java	src/gnu/trove/iterator/TShortDoubleIterator.java	gnu.trove.iterator.TShortDoubleIterator	class+pkg renamed
src/gnu/trove/c_ref/ap.java	src/gnu/trove/iterator/TShortFloatIterator.java	gnu.trove.iterator.TShortFloatIterator	class+pkg renamed
src/gnu/trove/c_ref/aq.java	src/gnu/trove/iterator/TShortIntIterator.java	gnu.trove.iterator.TShortIntIterator	class+pkg renamed
src/gnu/trove/c_ref/ar.java	src/gnu/trove/iterator/TShortIterator.java	gnu.trove.iterator.TShortIterator	class+pkg renamed
src/gnu/trove/c_ref/as.java	src/gnu/trove/iterator/TShortLongIterator.java	gnu.trove.iterator.TShortLongIterator	class+pkg renamed
src/gnu/trove/c_ref/at.java	src/gnu/trove/iterator/TShortObjectIterator.java	gnu.trove.iterator.TShortObjectIterator	class+pkg renamed
src/gnu/trove/c_ref/au.java	src/gnu/trove/iterator/TShortShortIterator.java	gnu.trove.iterator.TShortShortIterator	class+pkg renamed
src/gnu/trove/c_ref/b.java	src/gnu/trove/iterator/TByteByteIterator.java	gnu.trove.iterator.TByteByteIterator	class+pkg renamed
src/gnu/trove/c_ref/c.java	src/gnu/trove/iterator/TByteCharIterator.java	gnu.trove.iterator.TByteCharIterator	class+pkg renamed
src/gnu/trove/c_ref/d.java	src/gnu/trove/iterator/TByteDoubleIterator.java	gnu.trove.iterator.TByteDoubleIterator	class+pkg renamed
src/gnu/trove/c_ref/e.java	src/gnu/trove/iterator/TByteFloatIterator.java	gnu.trove.iterator.TByteFloatIterator	class+pkg renamed
src/gnu/trove/c_ref/f.java	src/gnu/trove/iterator/TByteIntIterator.java	gnu.trove.iterator.TByteIntIterator	class+pkg renamed
src/gnu/trove/c_ref/g.java	src/gnu/trove/iterator/TByteIterator.java	gnu.trove.iterator.TByteIterator	class+pkg renamed
src/gnu/trove/c_ref/h.java	src/gnu/trove/iterator/TByteLongIterator.java	gnu.trove.iterator.TByteLongIterator	class+pkg renamed
src/gnu/trove/c_ref/i.java	src/gnu/trove/iterator/TByteObjectIterator.java	gnu.trove.iterator.TByteObjectIterator	class+pkg renamed
src/gnu/trove/c_ref/j.java	src/gnu/trove/iterator/TByteShortIterator.java	gnu.trove.iterator.TByteShortIterator	class+pkg renamed
src/gnu/trove/c_ref/k.java	src/gnu/trove/iterator/TCharByteIterator.java	gnu.trove.iterator.TCharByteIterator	class+pkg renamed
src/gnu/trove/c_ref/l.java	src/gnu/trove/iterator/TCharCharIterator.java	gnu.trove.iterator.TCharCharIterator	class+pkg renamed
src/gnu/trove/c_ref/m.java	src/gnu/trove/iterator/TCharDoubleIterator.java	gnu.trove.iterator.TCharDoubleIterator	class+pkg renamed
src/gnu/trove/c_ref/n.java	src/gnu/trove/iterator/TCharFloatIterator.java	gnu.trove.iterator.TCharFloatIterator	class+pkg renamed
src/gnu/trove/c_ref/o.java	src/gnu/trove/iterator/TCharIntIterator.java	gnu.trove.iterator.TCharIntIterator	class+pkg renamed
src/gnu/trove/c_ref/p.java	src/gnu/trove/iterator/TCharIterator.java	gnu.trove.iterator.TCharIterator	class+pkg renamed
